geometry,WELL_ID,WELL_TEST_ID,LATTITUDE,LONGITUDE,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
POINT (-114.62073 54.16972),11080,11136,54.16972,-114.62073,1208229,1000.0,9.8,0.003,0.008,8.34,1300.0,1100.0,0.79,22.0,11.0,0.021,1.2,1.0,7.4,400.0,0.8,0.9,2.1,0.008,85.0
POINT (-114.62077 54.17016),11079,11701,54.17016,-114.62077,1208225,1000.0,8.1,0.003,0.003,8.32,1200.0,1100.0,0.91,17.0,13.0,0.008,0.09,1.0,5.8,430.0,0.9,0.7,0.06,0.003,93.0
POINT (-114.633346 54.298129),6258,9613,54.298129,-114.633346,1197455,260.0,0.5,0.003,6.5,8.3,320.0,300.0,0.15,280.0,2.0,0.008,0.06,8.0,86.0,2.7,1.5,16.0,0.14,6.5,96.0
POINT (-114.929566 54.363946),8868,9744,54.363946,-114.929566,1197607,520.0,0.5,0.003,0.003,7.8,640.0,640.0,0.21,6.9,2.2,0.008,0.06,61.0,1.7,260.0,3.2,0.6,0.06,0.003,96.0
POINT (-114.929653 54.362212),10784,9888,54.362212,-114.929653,1197603,440.0,0.5,0.003,0.014,7.7,540.0,490.0,0.24,360.0,0.5,0.26,0.09,50.0,100.0,43.0,2.0,26.0,3.6,0.014,93.0
POINT (-114.95861 54.349106),11657,4119,54.349106,-114.95861,1183171,190.0,3.5,0.003,0.007,8.3,220.0,350.0,0.25,400.0,1.6,0.6,2.0,24.0,110.0,72.0,2.5,32.0,2.7,0.01,260.0
POINT (-114.30109 54.25452),6617,11733,54.25452,-114.30109,1207385,1200.0,0.5,0.003,0.003,8.26,1400.0,1480.0,0.23,27.0,150.0,0.007,0.06,1.0,9.4,620.0,3.6,0.8,0.06,0.003,99.0
POINT (-114.326016 54.318122),11025,9773,54.318122,-114.326016,1201011,780.0,15.0,0.003,0.003,8.5,920.0,930.0,1.4,9.9,3.2,0.004,0.08,68.0,3.4,380.0,1.4,0.3,0.06,0.003,97.0
POINT (-112.45281 53.907389),273,2668,53.907389,-112.45281,1155853,133.0,6.0,0.005,0.01,8.74,149.0,243.0,0.17,136.0,31.9,0.137,0.32,38.1,24.0,32.2,18.6,18.5,7.9,0.02,106.0
POINT (-112.45452 53.907629),274,2885,53.907629,-112.45452,1155823,157.0,17.0,0.005,0.01,9.01,157.0,230.0,0.15,160.0,22.0,0.064,0.65,22.0,27.2,11.2,33.0,22.4,1.4,0.02,110.0
POINT (-112.454829 53.911789),272,7074,53.911789,-112.454829,1155825,153.0,6.0,0.005,0.01,8.15,187.0,200.0,0.07,152.0,16.8,0.829,2.34,11.0,43.9,4.9,20.8,10.2,2.6,0.02,105.0
POINT (-113.074233 58.442267),9081,4320,58.442267,-113.074233,1191763,784.0,48.0,0.003,0.003,8.71,859.0,2120.0,0.48,60.0,5.8,0.026,0.04,867.0,15.5,748.0,2.5,5.2,5.02,0.003,100.0
POINT (-111.125211 54.281864),7506,11059,54.281864,-111.125211,1216817,660.0,6.0,0.005,0.02,7.92,805.0,1310.0,0.23,910.0,5.6,0.647,0.01,479.0,218.0,119.0,4.7,89.0,4.5,0.02,101.0
POINT (-111.109127 54.298488),7768,11060,54.298488,-111.109127,1216515,718.0,6.0,0.005,0.01,7.92,875.0,850.0,0.2,634.0,13.8,0.029,0.11,114.0,131.0,79.3,6.4,74.5,4.1,0.01,95.0
POINT (-111.108838 54.267255),5916,8085,54.267255,-111.108838,1216514,574.0,6.0,0.005,8.26,7.89,700.0,863.0,0.23,9.2,41.4,0.006,0.03,136.0,1.9,337.0,1.3,1.1,0.2,8.26,92.0
POINT (-111.26485 54.019099),7259,7375,54.019099,-111.26485,1217021,588.0,6.0,0.005,0.01,7.77,717.0,1460.0,0.13,890.0,3.8,0.09,3.51,641.0,222.0,150.0,8.0,81.7,3.9,0.02,98.0
POINT (-111.267116 54.012816),5758,7043,54.012816,-111.267116,1217020,196.0,6.0,0.005,20.9,8.14,239.0,334.0,0.19,325.0,54.2,0.005,0.01,27.0,84.1,17.2,6.4,27.9,0.1,20.9,99.0
POINT (-110.603183 54.28335),8324,5147,54.28335,-110.603183,1217207,539.0,6.0,0.005,0.01,7.81,657.0,854.0,0.29,618.0,6.1,0.141,1.95,233.0,142.0,78.8,6.2,63.9,1.9,0.02,102.0
POINT (-110.599566 54.282116),7131,10396,54.282116,-110.599566,1217169,518.0,6.0,0.008,0.03,7.75,632.0,615.0,0.32,505.0,1.7,0.197,1.64,85.4,118.0,41.0,5.5,50.9,1.6,0.04,100.0
POINT (-110.576852 54.297469),7300,4611,54.297469,-110.576852,1216502,389.0,6.0,0.633,4.33,7.69,475.0,594.0,0.2,492.0,120.0,0.133,0.29,27.0,124.0,37.8,6.4,44.3,0.6,4.96,97.0
POINT (-110.576586 54.297719),7124,5143,54.297719,-110.576586,1216509,491.0,6.0,0.005,21.4,7.5,599.0,852.0,0.21,820.0,193.0,0.112,0.01,55.7,200.0,22.5,7.6,78.0,0.1,21.4,98.0
POINT (-110.572802 54.297252),6240,12304,54.297252,-110.572802,1216698,529.0,6.0,0.005,0.01,7.55,645.0,561.0,0.38,468.0,10.2,0.193,0.37,37.5,104.0,36.1,4.7,50.5,7.2,0.02,96.0
POINT (-110.653191 54.275872),8342,8705,54.275872,-110.653191,1217338,552.0,6.0,0.005,1.36,7.84,673.0,905.0,0.4,585.0,44.1,0.159,2.38,221.0,111.0,117.0,6.3,75.1,3.6,1.36,100.0
POINT (-110.903183 54.224945),5420,10266,54.224945,-110.903183,1217319,531.0,6.0,0.006,0.01,8.11,648.0,797.0,0.21,186.0,36.7,0.025,0.04,141.0,46.8,233.0,4.0,16.7,1.0,0.02,96.0
POINT (-110.971666 54.132433),6386,10930,54.132433,-110.971666,1217201,436.0,6.0,0.005,0.01,7.66,532.0,1420.0,0.23,669.0,21.0,0.23,2.74,672.0,176.0,228.0,7.2,55.8,2.8,0.02,101.0
POINT (-110.70529 54.424267),3051,2590,54.424267,-110.70529,1157117,432.0,6.0,0.005,0.01,7.94,527.0,456.0,0.36,390.0,5.5,0.209,0.03,20.0,82.7,34.8,8.3,44.7,8.0,0.02,104.0
POINT (-110.673064 54.457019),7128,5146,54.457019,-110.673064,1216521,566.0,6.0,0.005,0.01,7.76,690.0,741.0,0.2,655.0,1.9,0.668,9.41,137.0,155.0,35.3,6.4,65.0,11.9,0.02,108.0
POINT (-110.671133 54.4644),5699,3864,54.4644,-110.671133,1217212,920.0,6.0,0.005,0.58,7.82,1120.0,1220.0,0.54,839.0,58.6,0.019,0.06,185.0,162.0,145.0,17.5,105.0,0.2,0.58,98.0
POINT (-110.670599 54.465349),7298,10923,54.465349,-110.670599,1216495,549.0,6.0,0.005,0.01,8.03,670.0,720.0,0.2,291.0,12.9,0.054,2.36,101.0,76.7,169.0,5.3,24.2,2.4,0.02,101.0
POINT (-110.671866 54.464983),5702,4030,54.464983,-110.671866,1217211,951.0,6.0,0.02,4.1,7.56,1160.0,1700.0,0.4,1470.0,315.0,0.05,0.1,220.0,282.0,107.0,30.0,187.0,0.5,4.1,110.0
POINT (-110.6718 54.464866),5700,4139,54.464866,-110.6718,1217213,904.0,6.0,0.02,3.7,7.73,1100.0,1600.0,0.4,1330.0,266.0,0.05,0.1,240.0,265.0,109.0,18.0,162.0,0.2,3.7,100.0
POINT (-110.679433 54.472333),6020,4875,54.472333,-110.679433,1216934,540.0,12.0,0.005,0.02,7.97,634.0,709.0,0.21,270.0,14.8,0.054,1.83,95.8,71.9,174.0,5.3,21.9,1.8,0.02,101.0
POINT (-110.656512 54.4267),6936,5022,54.4267,-110.656512,1216844,502.0,6.0,0.011,0.01,7.92,612.0,653.0,0.32,331.0,18.4,0.109,0.7,87.8,79.3,130.0,4.8,32.3,0.6,0.02,100.0
POINT (-110.656545 54.4266),5035,7535,54.4266,-110.656545,1216890,521.0,6.0,0.005,1.86,7.98,636.0,750.0,0.19,228.0,25.3,0.056,1.68,120.0,59.6,208.0,4.8,19.4,1.4,1.86,100.0
POINT (-110.6366 54.426866),7130,6336,54.426866,-110.6366,1216829,413.0,6.0,0.005,0.02,7.7,504.0,457.0,0.28,434.0,3.4,0.411,0.87,44.2,102.0,11.8,4.1,43.8,0.8,0.02,100.0
POINT (-110.5108 54.484966),7290,5006,54.484966,-110.5108,1216427,522.0,6.0,0.02,0.07,7.81,636.0,1990.0,0.3,1180.0,51.4,0.466,2.14,1010.0,292.0,208.0,8.4,109.0,5.2,0.07,100.0
POINT (-110.471515 54.499537),5349,8765,54.499537,-110.471515,1217174,574.0,6.0,0.005,0.02,8.06,699.0,828.0,0.22,515.0,82.2,0.212,4.6,102.0,128.0,118.0,5.7,47.6,4.7,0.02,100.0
POINT (-110.467581 54.497403),6025,4876,54.497403,-110.467581,1216889,496.0,6.0,0.005,0.02,8.07,604.0,578.0,0.24,441.0,37.0,0.241,6.58,28.0,110.0,59.5,4.3,40.5,6.3,0.02,103.0
POINT (-110.323616 54.476683),4140,7118,54.476683,-110.323616,1216520,597.0,6.0,0.005,0.01,7.61,728.0,1110.0,0.21,856.0,4.5,0.26,2.71,386.0,206.0,64.7,7.7,83.1,2.7,0.013,101.0
POINT (-110.323733 54.4756),5165,10067,54.4756,-110.323733,1216519,637.0,6.0,0.005,1.93,7.76,777.0,827.0,0.36,788.0,50.0,0.277,0.35,116.0,148.0,20.9,7.4,102.0,1.0,1.93,101.0
POINT (-110.396116 54.367116),5253,4859,54.367116,-110.396116,1216898,248.0,6.0,0.005,0.01,7.93,302.0,260.0,0.34,189.0,0.5,0.146,0.29,13.0,49.2,30.9,3.2,16.1,0.3,0.02,100.0
POINT (-110.3908 54.367866),5264,7521,54.367866,-110.3908,1216516,657.0,6.0,0.02,0.05,8.22,801.0,1250.0,0.2,110.0,270.0,0.05,0.68,90.0,28.0,454.0,4.0,10.0,1.0,0.07,98.0
POINT (-110.503716 54.314699),5209,5659,54.314699,-110.503716,1216453,485.0,6.0,0.02,5.17,7.72,592.0,1420.0,0.4,991.0,342.0,0.05,0.3,314.0,201.0,149.0,7.0,119.0,0.9,5.17,101.0
POINT (-110.503766 54.314149),6937,7380,54.314149,-110.503766,1216485,619.0,6.0,0.02,10.7,7.59,755.0,1660.0,0.2,1220.0,417.0,0.33,0.1,308.0,230.0,120.0,55.0,156.0,0.2,10.7,99.0
POINT (-110.447774 53.850055),9286,9857,53.850055,-110.447774,1216505,545.0,6.0,0.005,0.02,7.94,664.0,701.0,0.28,446.0,5.9,0.172,2.51,120.0,117.0,88.6,4.0,37.7,5.9,0.02,97.0
POINT (-110.474241 53.820871),5261,6012,53.820871,-110.474241,1217056,137.0,6.0,0.005,0.01,8.39,167.0,170.0,0.13,110.0,9.8,0.045,1.07,1.0,29.5,2.3,35.2,9.3,1.7,0.02,109.0
POINT (-110.483225 53.820154),5750,6831,53.820154,-110.483225,1216508,314.0,6.0,0.005,1.2,7.76,383.0,465.0,0.22,370.0,10.0,0.005,0.01,104.0,90.5,33.4,3.5,35.0,0.1,1.2,102.0
POINT (-110.499926 53.816321),5036,4744,53.816321,-110.499926,1216843,535.0,6.0,0.02,0.05,7.98,652.0,2090.0,0.2,860.0,39.0,0.259,6.44,1020.0,216.0,412.0,8.0,77.0,8.4,0.07,108.0
POINT (-110.50185 53.816384),6024,10402,53.816384,-110.50185,1216933,467.0,6.0,0.01,35.2,7.92,570.0,717.0,0.27,720.0,53.4,0.146,0.02,104.0,166.0,32.6,6.6,74.3,0.1,35.2,103.0
POINT (-110.502293 53.817538),6277,10059,53.817538,-110.502293,1216506,521.0,6.0,0.032,23.6,7.48,636.0,751.0,0.17,749.0,77.6,0.125,0.06,76.6,184.0,23.7,5.3,70.2,0.1,23.7,102.0
POINT (-110.704423 53.784281),9508,1980,53.784281,-110.704423,1157007,524.0,6.0,0.005,0.01,8.19,638.0,710.0,0.29,502.0,9.9,0.096,0.15,133.0,112.0,77.4,9.5,54.3,0.5,0.02,101.0
POINT (-110.766228 53.78425),3046,3007,53.78425,-110.766228,1157029,492.0,6.0,0.092,14.6,7.87,600.0,883.0,0.18,684.0,97.2,0.118,0.01,168.0,159.0,86.1,6.7,69.8,0.1,14.7,103.0
POINT (-110.778595 53.784258),3040,7085,53.784258,-110.778595,1157005,131.0,6.0,0.005,0.08,7.87,159.0,190.0,0.07,140.0,15.4,0.005,0.08,21.0,38.9,8.5,19.0,9.9,0.2,0.08,104.0
POINT (-110.818979 53.697717),7745,6715,53.697717,-110.818979,1217042,198.0,6.0,0.005,0.02,7.8,241.0,220.0,0.08,159.0,7.3,0.02,0.92,2.0,40.5,5.9,31.5,14.0,2.6,0.02,102.0
POINT (-110.818979 53.69545),5711,4885,53.69545,-110.818979,1217043,45.0,6.0,0.005,0.03,7.55,54.0,64.0,0.05,24.0,5.2,0.013,0.92,1.0,6.2,0.4,22.0,2.2,1.7,0.03,100.0
POINT (-110.938766 53.7943),6933,6018,53.7943,-110.938766,1217002,265.0,6.0,0.005,0.01,7.77,323.0,347.0,0.15,270.0,3.9,0.022,0.04,51.4,50.7,28.9,18.1,34.9,0.1,0.02,110.0
POINT (-110.944783 53.79455),7401,10063,53.79455,-110.944783,1216872,512.0,6.0,0.005,0.01,7.74,624.0,1030.0,0.15,855.0,0.8,2.34,0.01,390.0,216.0,32.1,5.9,76.8,0.5,0.02,102.0
POINT (-110.956999 53.816733),7299,12300,53.816733,-110.956999,1216500,567.0,6.0,0.005,0.01,7.64,692.0,907.0,0.2,429.0,39.5,0.197,2.08,203.0,108.0,171.0,5.4,38.6,2.2,0.02,98.0
POINT (-110.942483 53.813883),10234,11974,53.813883,-110.942483,1204857,504.0,6.0,0.005,0.01,7.94,614.0,998.0,0.25,239.0,97.6,0.14,1.37,233.0,60.5,278.0,4.0,21.4,1.4,0.02,97.0
POINT (-110.93995 53.818283),7451,10068,53.818283,-110.93995,1216878,459.0,6.0,0.005,0.01,7.88,560.0,668.0,0.23,222.0,20.6,0.139,1.1,124.0,56.0,167.0,3.7,20.0,1.1,0.02,97.0
POINT (-110.9531 53.820033),8318,10934,53.820033,-110.9531,1217254,530.0,6.0,0.005,0.01,7.59,646.0,1050.0,0.18,410.0,43.4,0.166,0.66,318.0,103.0,223.0,4.6,37.4,0.7,0.02,98.0
POINT (-111.018233 53.764083),11234,6499,53.764083,-111.018233,1208437,508.0,6.0,0.005,0.01,8.01,620.0,1030.0,0.17,605.0,2.5,0.658,0.01,378.0,155.0,136.0,4.7,52.7,2.4,0.01,100.0
POINT (-110.844401 52.977676),49,2064,52.977676,-110.844401,1156199,491.0,18.0,0.023,0.01,8.56,562.0,606.0,0.35,5.0,4.3,0.005,0.04,63.7,1.5,239.0,1.5,0.4,0.1,0.02,94.0
POINT (-110.844424 52.984901),13,1615,52.984901,-110.844424,1156351,288.0,6.0,0.005,0.01,8.15,351.0,314.0,0.24,264.0,1.2,0.14,0.86,27.0,66.2,20.0,3.0,23.9,1.5,0.02,99.0
POINT (-110.832316 52.98493),2783,4149,52.98493,-110.832316,1156353,270.0,6.0,0.005,0.01,8.23,329.0,294.0,0.24,167.0,0.9,0.06,0.34,17.0,39.6,53.9,3.2,16.4,0.5,0.02,101.0
POINT (-110.832293 52.9777),50,2727,52.9777,-110.832293,1156235,198.0,6.0,0.005,3.85,8.08,242.0,215.0,0.06,213.0,1.4,0.005,0.01,13.0,58.9,4.3,2.2,16.0,0.1,3.85,99.0
POINT (-110.312409 52.897917),4412,5442,52.897917,-110.312409,1156261,363.0,6.0,0.005,0.15,8.01,443.0,386.0,0.22,351.0,4.5,0.87,0.01,19.0,79.8,19.1,8.2,36.9,0.8,0.15,105.0
POINT (-110.288197 52.905218),4411,7052,52.905218,-110.288197,1156259,1110.0,6.0,0.02,7.81,7.96,1350.0,1700.0,0.4,360.0,20.9,0.54,0.1,367.0,65.0,560.0,4.0,47.0,1.5,7.81,102.0
POINT (-110.518062 52.876135),9390,1131,52.876135,-110.518062,1156263,591.0,6.0,0.005,0.55,7.68,721.0,778.0,0.2,180.0,3.9,0.009,0.01,111.0,43.2,244.0,4.4,17.5,0.1,0.55,100.0
POINT (-110.298983 52.60505),1083,2709,52.60505,-110.298983,1174179,511.0,0.0,0.2,0.2,8.15,623.0,1035.0,0.26,398.0,4.4,0.07,2.1,349.0,83.0,241.0,4.6,46.2,2.46,0.2,105.4
POINT (-110.703924 52.52963),5104,10892,52.52963,-110.703924,1197011,632.0,27.0,0.015,0.023,8.4,605.0,945.0,0.44,137.0,1.19,0.148,0.1,197.0,35.6,306.0,1.5,11.6,0.7,0.023,107.0
POINT (-110.814717 52.532262),17,1963,52.532262,-110.814717,1155669,555.0,6.0,0.005,0.01,8.26,676.0,1040.0,0.08,69.0,4.8,0.005,0.22,305.0,18.6,371.0,4.1,5.5,0.2,0.02,101.0
POINT (-111.462353 52.634101),226,7333,52.634101,-111.462353,1156667,329.0,6.0,0.005,0.01,7.98,401.0,383.0,0.26,244.0,0.4,0.246,0.01,39.0,64.6,56.5,5.0,20.2,1.7,0.02,102.0
POINT (-111.450366 52.575823),382,2892,52.575823,-111.450366,1155665,565.0,62.0,0.005,0.11,8.9,562.0,698.0,0.36,211.0,32.8,0.065,0.09,42.0,20.8,195.0,29.6,38.7,0.8,0.11,103.0
POINT (-111.426388 52.604955),246,2548,52.604955,-111.426388,1156597,312.0,6.0,0.005,0.02,8.03,380.0,373.0,0.24,211.0,9.4,0.834,0.08,29.0,52.3,53.5,21.6,19.5,1.2,0.02,101.0
POINT (-111.426397 52.58317),39,1079,52.58317,-111.426397,1156843,505.0,6.0,0.157,0.72,8.02,616.0,851.0,0.2,326.0,3.0,0.067,0.01,229.0,84.2,200.0,2.9,28.2,0.2,0.88,102.0
POINT (-111.438373 52.575819),2803,2085,52.575819,-111.438373,1155667,508.0,6.0,0.005,0.05,8.07,619.0,944.0,0.37,307.0,5.4,0.103,0.13,296.0,65.9,234.0,3.7,34.6,0.6,0.05,100.0
POINT (-111.553097 51.587839),3164,4905,51.587839,-111.553097,1178147,554.0,19.0,0.003,0.003,8.6,637.0,953.0,1.27,15.0,231.0,0.004,0.03,0.9,4.0,381.0,1.1,1.4,0.03,0.003,96.0
POINT (-111.84618 51.79476),15664,15664,51.79476,-111.84618,1218914,510.0,1.0,0.062,48.0,7.66,630.0,1600.0,0.33,940.0,230.0,1.1,0.06,370.0,260.0,160.0,17.0,71.0,0.06,48.0,96.9
POINT (-111.87724 51.80312),15663,15663,51.80312,-111.87724,1218913,1300.0,1.0,0.01,0.02,8.13,1500.0,2000.0,0.23,31.0,14.0,0.011,0.061,460.0,11.0,790.0,3.2,0.92,0.6,0.02,99.0
POINT (-111.87711 51.80318),15661,15661,51.80318,-111.87711,1218911,220.0,1.0,0.01,0.01,7.9,270.0,520.0,0.15,220.0,14.0,0.6,2.3,190.0,59.0,100.0,4.5,17.0,3.0,0.014,98.7
POINT (-112.013267 51.75715),3914,3317,51.75715,-112.013267,1175023,100.0,1.0,0.06,0.05,7.96,122.0,126.0,0.29,78.0,9.3,0.56,4.17,2.0,19.0,5.0,23.2,7.3,8.71,0.05,102.0
POINT (-111.648598 52.786023),326,1976,52.786023,-111.648598,1156151,400.0,6.0,0.005,0.01,8.11,487.0,746.0,0.4,24.0,181.0,0.087,0.01,2.0,7.8,308.0,4.6,1.2,1.0,0.02,107.0
POINT (-111.648532 52.786323),4392,1610,52.786323,-111.648532,1156149,543.0,13.0,0.005,0.01,8.48,635.0,1170.0,0.79,12.0,349.0,0.005,0.07,0.9,4.2,487.0,2.8,0.5,0.1,0.02,104.0
POINT (-112.285762 53.649044),4393,1177,53.649044,-112.285762,1156525,448.0,6.0,0.005,0.02,7.84,547.0,807.0,0.1,295.0,1.5,0.164,1.3,250.0,81.0,173.0,7.3,22.5,1.4,0.02,97.0
POINT (-112.285859 53.648306),9387,2767,53.648306,-112.285859,1156523,518.0,20.0,0.046,0.26,8.6,592.0,883.0,1.24,8.0,8.0,0.006,0.03,232.0,2.6,326.0,1.8,0.3,0.2,0.3,93.0
POINT (-112.338994 53.465803),4405,6254,53.465803,-112.338994,1155849,491.0,53.0,0.005,0.01,9.01,491.0,731.0,0.59,6.0,3.8,0.161,0.01,145.0,1.9,284.0,1.0,0.2,0.1,0.02,97.0
POINT (-112.47738 52.883457),329,2796,52.883457,-112.47738,1156139,544.0,9.0,0.005,0.01,8.37,644.0,655.0,0.24,63.0,15.1,0.172,0.04,50.0,18.3,238.0,2.5,4.2,0.5,0.02,95.0
POINT (-112.47361 52.88495),14,1515,52.88495,-112.47361,1156137,561.0,10.0,0.005,0.01,8.38,663.0,664.0,0.2,65.0,9.4,0.195,0.06,48.3,18.9,244.0,2.5,4.3,0.2,0.02,96.0
POINT (-112.469067 53.017431),378,2084,53.017431,-112.469067,1155651,1010.0,27.0,0.02,0.05,8.47,1170.0,1350.0,0.4,10.0,168.0,0.05,0.1,9.0,6.0,572.0,4.0,1.0,0.2,0.07,101.0
POINT (-112.470466 53.01875),223,2086,53.01875,-112.470466,1155637,926.0,6.0,0.02,0.05,8.3,1130.0,1290.0,0.52,10.0,198.0,0.05,0.1,9.0,5.0,536.0,4.0,1.0,0.2,0.07,98.0
POINT (-112.47025 53.018166),8879,7078,53.018166,-112.47025,1155635,954.0,19.0,0.005,0.06,8.44,1120.0,1090.0,0.43,10.0,59.8,0.008,0.02,2.0,3.8,450.0,1.3,0.3,0.2,0.06,95.0
POINT (-112.466303 53.020396),383,5461,53.020396,-112.466303,1155671,244.0,6.0,0.005,0.01,7.57,297.0,489.0,0.1,125.0,35.0,0.562,0.48,128.0,32.8,128.0,8.1,10.4,0.6,0.02,98.0
POINT (-112.457866 53.01555),377,2021,53.01555,-112.457866,1155649,430.0,6.0,0.005,0.01,8.31,524.0,738.0,0.14,20.0,0.5,0.017,0.07,199.0,6.8,272.0,1.1,0.8,0.2,0.02,96.0
POINT (-112.607832 53.076538),11,4147,53.076538,-112.607832,1155863,778.0,6.0,0.02,0.12,8.16,949.0,1500.0,0.4,70.0,343.0,0.05,0.1,20.0,20.0,624.0,5.0,4.0,0.4,0.12,110.0
POINT (-112.598227 52.730758),14475,14475,52.730758,-112.598227,1217737,410.0,10.0,0.5,1.94,7.1,500.0,1440.0,1.0,534.0,48.6,1.58,0.181,668.0,166.0,265.0,3.6,28.8,2.18,0.4,94.8
POINT (-112.638464 52.745275),14469,14469,52.745275,-112.638464,1217731,400.0,10.0,0.5,4.95,7.3,488.0,1190.0,1.07,517.0,9.4,0.186,0.026,485.0,161.0,211.0,4.8,27.9,0.026,1.2885,107.0
POINT (-112.773085 52.710133),6371,6734,52.710133,-112.773085,1217184,118.0,6.0,0.005,0.29,7.79,144.0,160.0,0.23,87.0,8.5,0.031,0.15,11.0,22.4,11.9,27.1,7.5,0.7,0.29,104.0
POINT (-112.779581 52.717231),6570,6407,52.717231,-112.779581,1196487,708.0,32.0,0.05,0.1,8.6,800.0,760.0,1.4,8.0,8.0,0.01,0.05,1.3,2.9,321.0,0.6,0.2,0.05,0.1,97.5
POINT (-112.783845 52.856779),3208,3698,52.856779,-112.783845,1178443,608.0,0.5,0.003,0.003,8.0,742.0,1310.0,0.13,510.0,10.4,0.137,0.01,499.0,135.0,254.0,3.8,42.3,4.48,0.003,93.0
POINT (-112.76272 52.85453),2907,2149,52.85453,-112.76272,1159155,842.0,18.0,0.06,0.2,8.5,992.0,1410.0,0.6,9.9,316.0,0.005,0.27,1.0,3.4,581.0,1.5,0.3,0.29,0.2,99.0
POINT (-112.929722 52.916613),9645,3273,52.916613,-112.929722,1178451,569.0,11.4,0.003,0.004,8.44,671.0,630.0,1.34,9.5,29.9,0.004,0.03,0.5,3.4,253.0,0.8,0.2,0.13,0.004,91.0
POINT (-112.900701 52.854326),4357,1874,52.854326,-112.900701,1070299,697.0,1.0,0.06,0.2,8.3,850.0,787.0,0.6,15.0,38.0,0.005,0.17,1.0,4.8,324.0,1.5,0.6,0.27,0.2,96.0
POINT (-112.880176 52.837982),10441,7562,52.837982,-112.880176,1179475,415.0,0.5,0.003,0.193,7.93,507.0,879.0,0.13,510.0,105.0,0.423,2.19,224.0,135.0,114.0,5.3,42.5,2.41,0.196,97.0
POINT (-112.861307 52.872059),2977,1791,52.872059,-112.861307,1071363,521.0,0.5,0.005,0.585,7.94,636.0,983.0,0.23,310.0,234.0,0.613,0.05,59.5,0.0002,238.0,6.7,23.3,0.05,0.59,99.0
POINT (-112.845357 52.871922),2255,1844,52.871922,-112.845357,1071367,627.0,0.5,0.003,0.003,7.79,765.0,1650.0,0.13,590.0,8.4,0.21,7.96,709.0,167.0,331.0,5.5,45.6,8.05,0.003,97.0
POINT (-112.82871 52.885558),1286,6130,52.885558,-112.82871,1180851,431.0,0.5,0.003,0.006,8.21,526.0,527.0,0.33,93.0,1.8,0.172,0.36,64.1,24.6,167.0,2.7,7.6,0.64,0.006,92.0
POINT (-112.817772 52.887372),3209,5083,52.887372,-112.817772,1178447,601.0,8.4,0.006,0.023,8.37,716.0,861.0,0.55,40.0,154.0,0.012,0.08,0.5,12.7,330.0,1.4,2.0,0.1,0.029,93.0
POINT (-112.808573 52.859208),3314,1679,52.859208,-112.808573,1070519,379.0,0.5,0.003,17.6,7.78,462.0,688.0,0.3,460.0,67.9,0.026,0.19,93.8,141.0,51.6,19.9,37.5,0.32,17.6,90.0
POINT (-112.81014 52.842957),10309,6772,52.842957,-112.81014,1178459,703.0,8.0,0.003,0.003,8.36,841.0,737.0,0.37,47.0,15.3,0.017,0.01,0.7,15.1,280.0,1.6,2.2,0.43,0.003,91.0
POINT (-112.824833 52.698133),12340,12881,52.698133,-112.824833,1211897,683.0,5.0,0.015,8.72,8.3,833.0,2410.0,0.27,499.0,12.0,0.074,0.1,1080.0,126.0,697.0,5.6,44.7,7.1,8.72,109.0
POINT (-112.86855 52.754235),4055,9999,52.754235,-112.86855,1198239,446.0,5.0,0.015,0.113,8.2,544.0,900.0,0.11,470.0,7.0,0.207,0.1,318.0,129.0,140.0,2.7,35.8,1.0,0.113,98.7
POINT (-112.884222 52.698214),6674,7133,52.698214,-112.884222,1216687,676.0,6.0,0.02,9.26,7.98,824.0,2000.0,0.74,420.0,35.2,0.05,0.1,855.0,75.0,608.0,13.0,56.0,0.2,9.26,107.0
POINT (-112.883589 52.699148),8310,7539,52.699148,-112.883589,1216688,757.0,6.0,0.02,47.7,8.01,923.0,2400.0,0.3,420.0,90.7,0.05,0.1,954.0,84.0,758.0,15.0,52.0,0.2,47.7,102.0
POINT (-112.88377 52.69895),1329,12410,52.69895,-112.88377,1181115,734.0,6.0,0.02,0.94,8.27,895.0,2070.0,0.4,100.0,32.2,0.05,0.1,804.0,33.0,753.0,4.0,5.0,0.1,0.94,107.0
POINT (-112.885163 52.698308),11476,6563,52.698308,-112.885163,1181111,490.0,6.0,0.005,0.27,8.31,597.0,1100.0,0.34,91.0,9.0,0.027,0.01,393.0,24.8,370.0,2.8,7.0,0.1,0.27,98.0
POINT (-112.89909 52.697414),7101,9842,52.697414,-112.89909,1216971,418.0,6.0,0.005,0.01,7.9,510.0,731.0,0.15,264.0,20.6,0.19,1.38,185.0,79.5,174.0,3.7,16.0,1.5,0.02,102.0
POINT (-112.899372 52.697289),11248,9700,52.697289,-112.899372,1181099,428.0,0.5,0.003,0.003,7.99,522.0,740.0,0.31,220.0,34.6,0.148,0.01,172.0,66.8,192.0,3.5,13.4,1.09,0.003,98.0
